Municipality,Municipality_CTV,MuniTownype,MuniCode,CntyCode
Westford,"Westford, Town",Town,1423,14
Westford,"Westford, Town",Town,5215,52
Weston,"Weston, Town",Town,1030,10
Weston,"Weston, Town",Town,1721,17
Weston,"Weston, Town",Town,3742,37
Weston,"Weston, Village",Village,3770,37
Westport,"Westport, Town",Town,1333,13
Weyauwega,"Weyauwega, City",City,6860,68
Weyauwega,"Weyauwega, Town",Town,6821,68
Weyerhaeuser,"Weyerhaeuser, Village",Village,5458,54
Wheatland,"Wheatland, Town",Town,3008,30
Wheatland,"Wheatland, Town",Town,6220,62
Wheaton,"Wheaton, Town",Town,922,9
Wheeler,"Wheeler, Village",Village,1757,17
White Lake,"White Lake, Village",Village,3451,34
White Oak Springs,"White Oak Springs, Town",Town,3316,33
White River,"White River, Town",Town,213,2
Whitefish Bay,"Whitefish Bay, Village",Village,4055,40
Whitehall,"Whitehall, City",City,6157,61
Whitelaw,"Whitelaw, Village",Village,3658,36
Whitestown,"Whitestown, Town",Town,6221,62
Whitewater,"Whitewater, City",City,2859,28
Whitewater,"Whitewater, City",City,6460,64
Whitewater,"Whitewater, Town",Town,6416,64
Whiting,"Whiting, Village",Village,4960,49
Wien,"Wien, Town",Town,3741,37
Wild Rose,"Wild Rose, Village",Village,6956,69
Wilkinson,"Wilkinson, Town",Town,5422,54
Willard,"Willard, Town",Town,5423,54
Williams Bay,"Williams Bay, Village",Village,6456,64
Williamstown,"Williamstown, Town",Town,1424,14
Willow Springs,"Willow Springs, Town",Town,3317,33
Willow,"Willow, Town",Town,5216,52
Wilson,"Wilson, Town",Town,1722,17
Wilson,"Wilson, Town",Town,1813,18
Wilson,"Wilson, Town",Town,3516,35
Wilson,"Wilson, Town",Town,5424,54
Wilson,"Wilson, Town",Town,5915,59
Wilson,"Wilson, Village",Village,5557,55
Wilton,"Wilton, Town",Town,4124,41
Wilton,"Wilton, Village",Village,4156,41
Winchester,"Winchester, Town",Town,6314,63
Winchester,"Winchester, Town",Town,7014,70
Wind Point,"Wind Point, Village",Village,5158,51
Windsor,"Windsor, Town",Town,1334,13
Winfield,"Winfield, Town",Town,5621,56
Wingville,"Wingville, Town",Town,2231,22
Winneconne,"Winneconne, Town",Town,7015,70
Winneconne,"Winneconne, Village",Village,7052,70
Winter,"Winter, Town",Town,5717,57
Winter,"Winter, Village",Village,5755,57
Wiota,"Wiota, Town",Town,3318,33
Wisconsin Dells,"Wisconsin Dells, City",City,153,1
Wisconsin Dells,"Wisconsin Dells, City",City,1161,11
Wisconsin Dells,"Wisconsin Dells, City",City,2960,29
Wisconsin Dells,"Wisconsin Dells, City",City,5666,56
Wisconsin Rapids,"Wisconsin Rapids, City",City,4909,49
Wisconsin Rapids,"Wisconsin Rapids, City",City,7157,71
Withee,"Withee, Town",Town,1031,10
Withee,"Withee, Village",Village,1058,10
Wittenberg,"Wittenberg, Town",Town,5825,58
Wittenberg,"Wittenberg, Village",Village,5860,58
Wolf River,"Wolf River, Town",Town,3417,34
Wolf River,"Wolf River, Town",Town,7016,70
Wonewoc,"Wonewoc, Town",Town,2919,29
Wonewoc,"Wonewoc, Village",Village,2956,29
Wood River,"Wood River, Town",Town,721,7
Wood,"Wood, Town",Town,7122,71
Woodboro,"Woodboro, Town",Town,4318,43
Woodland,"Woodland, Town",Town,5622,56
Woodman,"Woodman, Town",Town,2232,22
Woodman,"Woodman, Village",Village,2262,22
Woodmohr,"Woodmohr, Town",Town,923,9
Woodruff,"Woodruff, Town",Town,4319,43
Woodville,"Woodville, Town",Town,809,8
Woodville,"Woodville, Village",Village,5558,55
Worcester,"Worcester, Town",Town,5017,50
Worden,"Worden, Town",Town,1032,10
Wrightstown,"Wrightstown, Town",Town,520,5
Wrightstown,"Wrightstown, Village",Village,553,5
Wrightstown,"Wrightstown, Village",Village,4464,44
Wyalusing,"Wyalusing, Town",Town,2233,22
Wyeville,"Wyeville, Village",Village,4157,41
Wyocena,"Wyocena, Town",Town,1121,11
Wyocena,"Wyocena, Village",Village,1159,11
Wyoming,"Wyoming, Town",Town,2514,25
Wyoming,"Wyoming, Town",Town,6822,68
York,"York, Town",Town,1033,10
York,"York, Town",Town,1335,13
York,"York, Town",Town,2316,23
Yorkville,"Yorkville, Town",Town,5109,51
Yuba,"Yuba, Village",Village,5255,52
